version,term_localName
http://rs.tdwg.org/tcs/version/TaxonConcept-2025-08-29,TaxonConcept
http://rs.tdwg.org/tcs/version/accordingTo-2025-08-29,accordingTo
http://rs.tdwg.org/tcs/version/taxonName-2025-08-29,taxonName
http://rs.tdwg.org/tcs/version/synonym-2025-08-29,synonym
http://rs.tdwg.org/tcs/version/vernacularName-2025-08-29,vernacularName
http://rs.tdwg.org/tcs/version/taxonRank-2025-08-29,taxonRank
http://rs.tdwg.org/tcs/version/parentTaxonConcept-2025-08-29,parentTaxonConcept
http://rs.tdwg.org/tcs/version/childTaxonConcept-2025-08-29,childTaxonConcept
http://rs.tdwg.org/tcs/version/isCongruentWith-2025-08-29,isCongruentWith
http://rs.tdwg.org/tcs/version/includes-2025-08-29,includes
http://rs.tdwg.org/tcs/version/isIncludedIn-2025-08-29,isIncludedIn
http://rs.tdwg.org/tcs/version/partiallyOverlaps-2025-08-29,partiallyOverlaps
http://rs.tdwg.org/tcs/version/isDisjointFrom-2025-08-29,isDisjointFrom
http://rs.tdwg.org/tcs/version/intersects-2025-08-29,intersects
http://rs.tdwg.org/tcs/version/TaxonConceptMapping-2025-08-29,TaxonConceptMapping
http://rs.tdwg.org/tcs/version/mappingAccordingTo-2025-08-29,mappingAccordingTo
http://rs.tdwg.org/tcs/version/mappingRelation-2025-08-29,mappingRelation
http://rs.tdwg.org/tcs/version/subjectTaxonConcept-2025-08-29,subjectTaxonConcept
http://rs.tdwg.org/tcs/version/objectTaxonConcept-2025-08-29,objectTaxonConcept
http://rs.tdwg.org/tcs/version/TaxonName-2025-08-29,TaxonName
http://rs.tdwg.org/tcs/version/nameString-2025-08-29,nameString
http://rs.tdwg.org/tcs/version/namePublishedIn-2025-08-29,namePublishedIn
http://rs.tdwg.org/tcs/version/microreference-2025-08-29,microreference
http://rs.tdwg.org/tcs/version/nomenclaturalCode-2025-08-29,nomenclaturalCode
http://rs.tdwg.org/tcs/version/nomenclaturalStatus-2025-08-29,nomenclaturalStatus
http://rs.tdwg.org/tcs/version/typification-2025-08-29,typification
http://rs.tdwg.org/tcs/version/typificationLiteral-2025-08-29,typificationLiteral
http://rs.tdwg.org/tcs/version/basionym-2025-08-29,basionym
http://rs.tdwg.org/tcs/version/replacedName-2025-08-29,replacedName
http://rs.tdwg.org/tcs/version/basedOn-2025-08-29,basedOn
http://rs.tdwg.org/tcs/version/laterHomonymOf-2025-08-29,laterHomonymOf
http://rs.tdwg.org/tcs/version/conservedAgainst-2025-08-29,conservedAgainst
http://rs.tdwg.org/tcs/version/combinationAuthor-2025-08-29,combinationAuthor
http://rs.tdwg.org/tcs/version/combinationAuthorLiteral-2025-08-29,combinationAuthorLiteral
http://rs.tdwg.org/tcs/version/basionymAuthor-2025-08-29,basionymAuthor
http://rs.tdwg.org/tcs/version/basionymAuthorLiteral-2025-08-29,basionymAuthorLiteral
http://rs.tdwg.org/tcs/version/combinationAscribedAuthor-2025-08-29,combinationAscribedAuthor
http://rs.tdwg.org/tcs/version/combinationAscribedAuthorLiteral-2025-08-29,combinationAscribedAuthorLiteral
http://rs.tdwg.org/tcs/version/basionymAscribedAuthor-2025-08-29,basionymAscribedAuthor
http://rs.tdwg.org/tcs/version/basionymAscribedAuthorLiteral-2025-08-29,basionymAscribedAuthorLiteral
http://rs.tdwg.org/tcs/version/NomenclaturalType-2025-08-29,NomenclaturalType
http://rs.tdwg.org/tcs/version/typifiedName-2025-08-29,typifiedName
http://rs.tdwg.org/tcs/version/typeOfType-2025-08-29,typeOfType
http://rs.tdwg.org/tcs/version/typeName-2025-08-29,typeName
http://rs.tdwg.org/tcs/version/typeSpecimen-2025-08-29,typeSpecimen
http://rs.tdwg.org/tcs/version/typePublishedIn-2025-08-29,typePublishedIn
